Stimulus(s),S21(Real),S21(Imag)
5.06101220244E-08,-1.27510932511E-08,+7.18518159037E-08
5.08101620324E-08,+4.59093882044E-08,+7.02103058197E-08
5.10102020404E-08,+8.00785881252E-08,+2.31513324531E-08
5.12102420484E-08,+6.37029957614E-08,-2.83468804085E-08
5.14102820564E-08,+1.97824132281E-08,-4.20105715843E-08
5.16103220644E-08,-6.14571192739E-09,-1.95853139525E-08
5.18103620724E-08,+6.45401402586E-10,-3.68322122473E-10
5.20104020804E-08,+9.78591932419E-09,-8.91027492774E-09
5.22104420884E-08,-1.02284046225E-08,-2.25933540036E-08
5.24104820964E-08,-4.54661352935E-08,-1.85030165267E-09
5.26105221044E-08,-4.85311890196E-08,+5.40674011566E-08
5.28105621124E-08,+3.40652357052E-09,+9.72026760924E-08
5.30106021204E-08,+7.60285988015E-08,+8.16675298522E-08
5.32106421284E-08,+1.10994867264E-07,+1.44583489411E-08
5.34106821364E-08,+8.45737169314E-08,-5.27663950168E-08
5.36107221444E-08,+2.44514401764E-08,-7.66389146468E-08
5.38107621524E-08,-2.64930738998E-08,-5.59848009734E-08
5.40108021604E-08,-4.86540089674E-08,-1.59615971873E-08
5.42108421684E-08,-4.53021204887E-08,+2.40832263575E-08
5.44108821764E-08,-2.07397422240E-08,+5.59507835645E-08
5.46109221844E-08,+2.25557903269E-08,+6.70912635186E-08
5.48109621924E-08,+6.67367928464E-08,+4.18931981433E-08
5.50110022004E-08,+7.84765624883E-08,-1.34713974526E-08
5.52110422084E-08,+4.07198887645E-08,-6.07608002960E-08
5.54110822164E-08,-2.07913480413E-08,-6.06030488183E-08
5.56111222244E-08,-5.69717846647E-08,-1.43936978542E-08
5.58111622324E-08,-4.48099144630E-08,+3.56664305719E-08
5.60112022404E-08,-8.43601051831E-09,+5.24481925341E-08
5.62112422484E-08,+1.39203414480E-08,+4.10749499795E-08
5.64112822565E-08,+1.50379386749E-08,+3.31215678218E-08
5.66113222645E-08,+1.97891561306E-08,+4.12154682755E-08
5.68113622725E-08,+4.45546867056E-08,+4.38242481507E-08
5.70114022805E-08,+7.08026826734E-08,+1.79695362704E-08
5.72114422885E-08,+6.73925417350E-08,-2.57755854673E-08
5.74114822965E-08,+3.07164409163E-08,-5.25825688524E-08
5.76115223045E-08,-1.00461497156E-08,-4.35337046432E-08
5.78115623125E-08,-2.70958719115E-08,-1.42097057610E-08
5.80116023205E-08,-2.14915122016E-08,+8.80288055300E-09
5.82116423285E-08,-1.16233718354E-08,+1.82107609221E-08
5.84116823365E-08,-5.07402454306E-09,+2.41846308629E-08
5.86117223445E-08,+5.29845657169E-09,+3.03193696828E-08
5.88117623525E-08,+2.03683267342E-08,+2.70179984515E-08
5.90118023605E-08,+2.59585955804E-08,+1.16972776415E-08
5.92118423685E-08,+1.35425525196E-08,+1.58313357986E-09
5.94118823765E-08,-1.90572832227E-10,+1.35603130284E-08
5.96119223845E-08,+1.05220857195E-08,+3.59869247957E-08
5.98119623925E-08,+4.42117690909E-08,+3.59137222891E-08
6.00120024005E-08,+6.56836852928E-08,-5.21820088351E-11
6.02120424085E-08,+4.50415299094E-08,-4.27286986037E-08
6.04120824165E-08,-3.56791581662E-09,-4.96414089321E-08
6.06121224245E-08,-3.43677072941E-08,-1.44173209427E-08
6.08121624325E-08,-2.15178546081E-08,+2.48742527473E-08
6.10122024405E-08,+1.26865269927E-08,+2.99095376609E-08
6.12122424485E-08,+2.68247005410E-08,+4.66894386721E-09
6.14122824565E-08,+8.96996805226E-09,-1.44555193467E-08
6.16123224645E-08,-1.46177801383E-08,-4.77012529900E-09
6.18123624725E-08,-1.64678329024E-08,+1.95858791821E-08
6.20124024805E-08,+5.34130189981E-10,+3.20514283823E-08
6.22124424885E-08,+1.48692153979E-08,+2.77151767546E-08
6.24124824965E-08,+1.87083625952E-08,+2.19876473735E-08
6.26125225045E-08,+2.38579066520E-08,+2.18253115482E-08
6.28125625125E-08,+3.62396947795E-08,+1.47427372555E-08
6.30126025205E-08,+4.01466657453E-08,-7.98572757632E-09
6.32126425285E-08,+1.88728846530E-08,-2.94495727294E-08
6.34126825365E-08,-1.58777230515E-08,-2.25880321982E-08
6.36127225445E-08,-2.98993638135E-08,+1.35637448883E-08
