Stimulus(Hz),S21(dB)
3.96280628063E+09,-7.75872993037E+01
3.96290629063E+09,-7.76443229325E+01
3.96300630063E+09,-7.76734953427E+01
3.96310631063E+09,-7.76822344000E+01
3.96320632063E+09,-7.76389569934E+01
3.96330633063E+09,-7.76899684174E+01
3.96340634063E+09,-7.76861716956E+01
3.96350635064E+09,-7.76769047792E+01
3.96360636064E+09,-7.76514032889E+01
3.96370637064E+09,-7.77703933738E+01
3.96380638064E+09,-7.77045638069E+01
3.96390639064E+09,-7.76891579748E+01
3.96400640064E+09,-7.76887753152E+01
3.96410641064E+09,-7.77021842100E+01
3.96420642064E+09,-7.76562591761E+01
3.96430643064E+09,-7.76964745726E+01
3.96440644064E+09,-7.77348193635E+01
3.96450645065E+09,-7.76881934400E+01
3.96460646065E+09,-7.76628699949E+01
3.96470647065E+09,-7.76664679721E+01
3.96480648065E+09,-7.76651773396E+01
3.96490649065E+09,-7.76353680577E+01
3.96500650065E+09,-7.76036828925E+01
3.96510651065E+09,-7.76978690374E+01
3.96520652065E+09,-7.76841755158E+01
3.96530653065E+09,-7.75926728620E+01
3.96540654065E+09,-7.76442350425E+01
3.96550655066E+09,-7.76360218117E+01
3.96560656066E+09,-7.75468894009E+01
3.96570657066E+09,-7.75372434770E+01
3.96580658066E+09,-7.75914732373E+01
3.96590659066E+09,-7.75808914159E+01
3.96600660066E+09,-7.75732044743E+01
