Stimulus(s),S21(Real)
2.64448444844E-07,+1.03225853550E-08
2.64456445645E-07,+1.05485140979E-08
2.64464446445E-07,+1.02333161154E-08
2.64472447245E-07,+9.40800624684E-09
2.64480448045E-07,+8.12890699616E-09
2.64488448845E-07,+6.47406672600E-09
2.64496449645E-07,+4.53864889016E-09
2.64504450445E-07,+2.42955969354E-09
2.64512451245E-07,+2.59614221318E-10
2.64520452045E-07,-1.85844293051E-09
2.64528452845E-07,-3.81774755774E-09
2.64536453645E-07,-5.52265890850E-09
2.64544454445E-07,-6.89337125546E-09
2.64552455246E-07,-7.86957503363E-09
2.64560456046E-07,-8.41300448780E-09
2.64568456846E-07,-8.50877160035E-09
2.64576457646E-07,-8.16545231279E-09
2.64584458446E-07,-7.41395711318E-09
2.64592459246E-07,-6.30528045926E-09
2.64600460046E-07,-4.90727906195E-09
2.64608460846E-07,-3.30067505406E-09
2.64616461646E-07,-1.57451438918E-09
2.64624462446E-07,+1.78667975650E-10
2.64632463246E-07,+1.86771716004E-09
2.64640464046E-07,+3.40750909261E-09
2.64648464846E-07,+4.72314958744E-09
2.64656465647E-07,+5.75351927210E-09
2.64664466447E-07,+6.45400219977E-09
2.64672467247E-07,+6.79828337836E-09
2.64680468047E-07,+6.77915220298E-09
2.64688468847E-07,+6.40830203208E-09
2.64696469647E-07,+5.71516807685E-09
2.64704470447E-07,+4.74489372363E-09
2.64712471247E-07,+3.55555703754E-09
2.64720472047E-07,+2.21482258170E-09
2.64728472847E-07,+7.96207408975E-10
2.64736473647E-07,-6.24836710888E-10
2.64744474447E-07,-1.97482035505E-09
2.64752475248E-07,-3.18589641453E-09
2.64760476048E-07,-4.19914433364E-09
2.64768476848E-07,-4.96730612490E-09
2.64776477648E-07,-5.45685450604E-09
2.64784478448E-07,-5.64931111873E-09
2.64792479248E-07,-5.54177307003E-09
2.64800480048E-07,-5.14664685326E-09
2.64808480848E-07,-4.49062797898E-09
2.64816481648E-07,-3.61300049092E-09
2.64824482448E-07,-2.56336132136E-09
2.64832483248E-07,-1.39889885974E-09
2.64840484048E-07,-1.81372247800E-10
2.64848484848E-07,+1.02605273227E-09
2.64856485649E-07,+2.16195384421E-09
2.64864486449E-07,+3.16963745498E-09
2.64872487249E-07,+3.99982033456E-09
2.64880488049E-07,+4.61288914392E-09
2.64888488849E-07,+4.98064244697E-09
2.64896489649E-07,+5.08744744055E-09
2.64904490449E-07,+4.93077298794E-09
2.64912491249E-07,+4.52109052367E-09
2.64920492049E-07,+3.88116357496E-09
2.64928492849E-07,+3.04477375444E-09
2.64936493649E-07,+2.05495501073E-09
2.64944494449E-07,+9.61827790381E-10
2.64952495250E-07,-1.79860103382E-10
2.64960496050E-07,-1.31336918652E-09
2.64968496850E-07,-2.38265908537E-09
2.64976497650E-07,-3.33501364712E-09
2.64984498450E-07,-4.12348521593E-09
2.64992499250E-07,-4.70905313320E-09
2.65000500050E-07,-5.06240571678E-09
2.65008500850E-07,-5.16527244414E-09
2.65016501650E-07,-5.01125302787E-09
2.65024502450E-07,-4.60611169638E-09
2.65032503250E-07,-3.96752743248E-09
2.65040504050E-07,-3.12431335079E-09
2.65048504850E-07,-2.11514000378E-09
2.65056505651E-07,-9.86817463836E-10
2.65064506451E-07,+2.07791148519E-10
2.65072507251E-07,+1.41213701875E-09
2.65080508051E-07,+2.56853452766E-09
2.65088508851E-07,+3.62078437867E-09
2.65096509651E-07,+4.51675973453E-09
2.65104510451E-07,+5.21084440139E-09
2.65112511251E-07,+5.66611662120E-09
2.65120512051E-07,+5.85618074001E-09
2.65128512851E-07,+5.76656171064E-09
2.65136513651E-07,+5.39559371942E-09
2.65144514451E-07,+4.75475372550E-09
2.65152515252E-07,+3.86841275316E-09
2.65160516052E-07,+2.77300164664E-09
2.65168516852E-07,+1.51561283474E-09
2.65176517652E-07,+1.52084513671E-10
2.65184518452E-07,-1.25536245719E-09
2.65192519252E-07,-2.64084278254E-09
2.65200520052E-07,-3.93776908065E-09
2.65208520852E-07,-5.08193252258E-09
2.65216521652E-07,-6.01456595804E-09
2.65224522452E-07,-6.68524932831E-09
2.65232523252E-07,-7.05451884384E-09
2.65240524052E-07,-7.09604942762E-09
2.65248524852E-07,-6.79829427822E-09
2.65256525653E-07,-6.16548578276E-09
2.65264526453E-07,-5.21792779442E-09
2.65272527253E-07,-3.99153956597E-09
2.65280528053E-07,-2.53664520763E-09
2.65288528853E-07,-9.16037986370E-10
