Stimulus(Hz),S11(dB)
4.17699536995E+07,-1.25495634479E-01
4.18599535995E+07,-1.17039335268E-01
4.19499534995E+07,-1.19188851271E-01
4.20399533995E+07,-1.27540394876E-01
4.21299532995E+07,-1.22419646110E-01
4.22199531995E+07,-1.16956875763E-01
4.23099530995E+07,-1.25297626985E-01
4.23999529995E+07,-1.27587970027E-01
4.24899528995E+07,-1.18909558474E-01
4.25799527995E+07,-1.21478077875E-01
4.26699526995E+07,-1.29697679252E-01
4.27599525995E+07,-1.24290746416E-01
4.28499524995E+07,-1.19112569819E-01
4.29399523995E+07,-1.27695723895E-01
4.30299522995E+07,-1.29659929940E-01
4.31199521995E+07,-1.20693168245E-01
4.32099520995E+07,-1.23736769579E-01
4.32999519995E+07,-1.31854964365E-01
4.33899518995E+07,-1.26054575981E-01
4.34799517995E+07,-1.21035547057E-01
4.35699516995E+07,-1.30136468157E-01
4.36599515995E+07,-1.31504844238E-01
4.37499514995E+07,-1.22330913858E-01
4.38399513995E+07,-1.26044084806E-01
4.39299512995E+07,-1.33980768427E-01
4.40199511995E+07,-1.27542993185E-01
4.41099510995E+07,-1.22953304632E-01
4.41999509995E+07,-1.32348777527E-01
4.42899508995E+07,-1.33272653629E-01
4.43799507995E+07,-1.24279453685E-01
4.44699506995E+07,-1.28127386779E-01
4.45599505995E+07,-1.36028094508E-01
4.46499504995E+07,-1.29292788839E-01
4.47399503995E+07,-1.25121676529E-01
4.48299502995E+07,-1.34691378100E-01
4.49199501995E+07,-1.35172885864E-01
4.50099500995E+07,-1.25826608508E-01
4.50999499995E+07,-1.30446695680E-01
4.51899498995E+07,-1.38151433354E-01
4.52799497995E+07,-1.31225001881E-01
4.53699496995E+07,-1.27189059207E-01
4.54599495995E+07,-1.36763730828E-01
4.55499494995E+07,-1.36945191653E-01
4.56399493995E+07,-1.27483151189E-01
4.57299492995E+07,-1.32505311776E-01
4.58199491995E+07,-1.40216811488E-01
4.59099490995E+07,-1.32368133148E-01
4.59999489995E+07,-1.28669621697E-01
4.60899488995E+07,-1.39061050246E-01
4.61799487995E+07,-1.38683586162E-01
