Stimulus(s),S21(dB)
6.09060906091E-08,-1.45229346599E+02
6.10061006101E-08,-1.46193203176E+02
6.11061106111E-08,-1.47383207438E+02
6.12061206121E-08,-1.48868352044E+02
6.13061306131E-08,-1.50682871886E+02
6.14061406141E-08,-1.52703147014E+02
6.15061506151E-08,-1.54370317910E+02
6.16061606161E-08,-1.54809878114E+02
6.17061706171E-08,-1.54147281330E+02
6.18061806181E-08,-1.53379807920E+02
6.19061906191E-08,-1.53148736704E+02
6.20062006201E-08,-1.53776319367E+02
6.21062106211E-08,-1.55658370828E+02
6.22062206221E-08,-1.59847119624E+02
6.23062306231E-08,-1.68553031764E+02
6.24062406241E-08,-1.59677060632E+02
6.25062506251E-08,-1.53405443583E+02
6.26062606261E-08,-1.49719314210E+02
6.27062706271E-08,-1.47289952214E+02
6.28062806281E-08,-1.45660050823E+02
6.29062906291E-08,-1.44628129629E+02
6.30063006301E-08,-1.44095744491E+02
6.31063106311E-08,-1.44017599215E+02
6.32063206321E-08,-1.44383524062E+02
6.33063306331E-08,-1.45214367059E+02
6.34063406341E-08,-1.46568240620E+02
6.35063506351E-08,-1.48561968401E+02
6.36063606361E-08,-1.51428624711E+02
6.37063706371E-08,-1.55690775050E+02
6.38063806381E-08,-1.62755938319E+02
6.39063906391E-08,-1.68084664433E+02
6.40064006401E-08,-1.61646947215E+02
6.41064106411E-08,-1.59005224871E+02
6.42064206421E-08,-1.58639338713E+02
6.43064306431E-08,-1.59902240902E+02
6.44064406441E-08,-1.61598560226E+02
6.45064506451E-08,-1.59666033661E+02
6.46064606461E-08,-1.55513995262E+02
6.47064706471E-08,-1.52117063541E+02
6.48064806481E-08,-1.49651503110E+02
6.49064906491E-08,-1.47907170480E+02
6.50065006501E-08,-1.46722984225E+02
6.51065106511E-08,-1.45989599271E+02
6.52065206521E-08,-1.45624268280E+02
6.53065306531E-08,-1.45549357028E+02
6.54065406541E-08,-1.45673295497E+02
6.55065506551E-08,-1.45876482572E+02
6.56065606561E-08,-1.46016678057E+02
6.57065706571E-08,-1.45972797526E+02
6.58065806581E-08,-1.45709279442E+02
6.59065906591E-08,-1.45293292834E+02
6.60066006601E-08,-1.44841691898E+02
6.61066106611E-08,-1.44459241576E+02
